name,rawPrice,customerReview,customerReviewCount,boughtInfo,sponsoredAd,asin,rating
Lucas Oil 10767 High Performance Conventional SAE 10W-40 Motorcycle Oil - 1 Quart,8.99,4.8 out of 5 stars,280,800+ bought in past month,False,B0041CDW08,4.8
Valvoline 4-Stroke Motorcycle Full Synthetic 10W-40 Motor Oil 1 Quart,9.97,4.8 out of 5 stars,3073,2K+ bought in past month,False,B00HJ6VFAW,4.8
Valvoline 4-Stroke Powersport Full Synthetic Motor Oil 1 Quart,9.97,4.9 out of 5 stars,249,200+ bought in past month,True,B0C1LQLJWY,4.9
Lucas Oil 10702 SAE 20W-50 Synthetic Motorcycle Oil - 1 Quart Bottle,11.99,4.8 out of 5 stars,721,100+ bought in past month,False,B003ESP5YG,4.8
"K&N Motorcycle Oil Filter: High Performance, Premium, Designed to be used with Synthetic or Conventional Oils, Wrench Off Nut: Fits Select Harley Davidson Motorcycles, KN-171B",14.39,4.8 out of 5 stars,6191,2K+ bought in past month,False,B000FGI6E6,4.8
"K&N Motorcycle Oil Filter: High Performance, Premium, Designed to be used Synthetic or Conventional Oils, Wrench Off Nut: Fits Select 2001-2026 Honda, Kawasaki, Triumph, Yamaha Motorcycles, KN-204-1",15.99,4.8 out of 5 stars,9138,2K+ bought in past month,False,B008S6GEB2,4.8
Castrol Power 1 Racing 4T Motorcycle Oil - 5W40-1qt. 06113,16.14,4.8 out of 5 stars,191,50+ bought in past month,False,B01HFLOPE8,4.8
Kawasaki 4-Stroke Motorcycle Engine Oil 10W40 1 Gallon K61021-302,33.21,4.8 out of 5 stars,1316,300+ bought in past month,False,B00C6MXLKQ,4.8
Bel-Ray V-Twin SAE 20W-50 Mineral Engine Oil | 4 Liter | SKU: 96905-BT4,33.98,4.8 out of 5 stars,261,100+ bought in past month,False,B006UET3CG,4.8
"ULTRA 1PLUS 4T 10W-40 Motorcycle Oil Synthetic Blend API SL JASO MA2-10W40 Motor Oil, 1 Gallon",34.95,4.7 out of 5 stars,128,200+ bought in past month,False,B0B5HQX8HC,4.7
"TRIAX XTerra 4T 10W-40 Full Synthetic 4 Stroke Engine Oil | For Motorcycles, ATVs, Quads & Snowmobiles | Exceeds JASO MA2 & API SL/SM/SN | True All Season | Race Ready (1 Gallon)",37.99,4.7 out of 5 stars,345,700+ bought in past month,False,B0945QK2C7,4.7
Liqui Moly 20414 4T HC Street Motor Oil - 5W-40-4L.,38.61,4.8 out of 5 stars,216,50+ bought in past month,False,B08CK7D2T3,4.8
"Castrol Actevo 4T 20W-50 Synthetic Blend Motorcycle Oil, 1 Quart, Pack of 6",38.82,4.8 out of 5 stars,1386,100+ bought in past month,True,B00CJ7WOJ2,4.8
Set of 4 - Genuine Honda GN4 4-Stroke Motorcycle Oil - 10W-40 SJ - Fits Honda & Other Motorcycles,38.99,4.8 out of 5 stars,70,700+ bought in past month,False,B0DSK1279R,4.8
Liqui Moly Motorbike 4T SAE 15W-50 Street | Full Synthetic Motor Oil | 4 Liter | SKU: 20060,44.62,4.9 out of 5 stars,218,100+ bought in past month,False,B07DB2P321,4.9
Liqui Moly 4T 10w-40 Street 4-Liter,45.53,4.9 out of 5 stars,685,300+ bought in past month,False,B07DB1Y4MG,4.9
Quicksilver Full Synthetic Motorcycle Oil,46.39,4.8 out of 5 stars,760,,False,B008PN3J2A,4.8
Lucas Oil 10710 High Performance Semi-Synthetic SAE 10W-40 Motorcycle Oil - 1 Quart (Pack of 6),48.07,4.6 out of 5 stars,297,,False,B009M1LHQE,4.6
Lucas Oil 10700 High Performance SAE 20W-50 Motorcycle Oil - 1 Quart (Pack of 6),48.66,4.8 out of 5 stars,637,300+ bought in past month,False,B001OZQEJG,4.8
"V-Twin Quick Change Kit Mineral w/Chrome Filter, Evo/Sportster",51.59,4.6 out of 5 stars,309,50+ bought in past month,False,B072NZ8967,4.6
"Castrol Actevo 4T 10W-40 Synthetic Blend Motorcycle Oil, 1 Quart, Pack of 6",51.99,4.8 out of 5 stars,1386,50+ bought in past month,False,B00CJ8GAQ4,4.8
Motul 5100 4T 10W-40 Motorcycle Oil - Technosynthese Semi-Synthetic with Ester - API SP JASO MA2 Wet Clutch Safe - Smooth Shifting Engine and Gearbox Protection for Street ATV UTV 4 L,53.81,4.9 out of 5 stars,18750,50+ bought in past month,False,B00IKCY4ZC,4.9
"Valvoline 4-Stroke Motorcycle Full Synthetic SAE 10W-40 Motor Oil 1 QT, Case of 6",55.13,4.8 out of 5 stars,3073,400+ bought in past month,False,B08126VWPM,4.8
"Valvoline 4-Stroke Motorcycle SAE 10W-40 Motor Oil 1 QT, Case of 6",55.98,4.8 out of 5 stars,641,100+ bought in past month,False,B00DJ4FGMQ,4.8
"Castrol Power1 4T 5W-40 Full Synthetic Motorcycle Oil, 1 Quart, Pack of 6",56.78,4.7 out of 5 stars,1003,200+ bought in past month,False,B008MISDII,4.7
Liqui Moly 4T Synthetic 10w-50 Offroad Race 4-Liter,58.24,4.9 out of 5 stars,58,50+ bought in past month,False,B07DB1D4XG,4.9
"Castrol Power1 4T 10W-40 Full Synthetic Motorcycle Oil, 1 Quart, Pack of 6",59.99,4.8 out of 5 stars,2278,500+ bought in past month,True,B008MISDH4,4.8
"Lucas Oil 10702 High Performance Synthetic 20W-50 Motorcycle Oil - 1 Quart, Pack of 6",65.13,4.8 out of 5 stars,990,200+ bought in past month,False,B001OZL9XC,4.8
Mobil 1 96936 20W-50 V-Twin Synthetic Motocycle Motor Oil - 1 Quart (Pack of 6),65.16,4.8 out of 5 stars,2532,200+ bought in past month,False,B000SKV4T8,4.8
"Castrol Power1 4T 10W-50 Full Synthetic Motorcycle Oil, 1 Quart, Pack of 6",65.82,4.9 out of 5 stars,1253,500+ bought in past month,True,B008MISF54,4.9
Motul 7100 4T 10W-40 Full Synthetic Motorcycle Oil - Ester Technology - API SP JASO MA2 Wet Clutch Safe - Engine and Gearbox Protection for Street Sport Adventure 4L,69.99,4.9 out of 5 stars,7622,900+ bought in past month,False,B00IKCY9RK,4.9
Mobil 1 98JA11 10W-40 Racing 4T Motorcycle Oil for Sport Bikes - 1 Quart (Pack of 6),71.99,4.8 out of 5 stars,786,100+ bought in past month,False,B004U8JH84,4.8
Victory Motorcycle Oil Change Kit 2879600,81.49,4.8 out of 5 stars,2293,200+ bought in past month,False,B00NHY745A,4.8
"Motul 300V Factory Line Road Racing 10W40 4T Synthetic Racing Motor Oil with ESTER Core® Technology for Maximum Power and Protection 4L (10W40, 4L)",84.54,4.9 out of 5 stars,7116,200+ bought in past month,False,B00C714MIG,4.9
"Indian Motorcycle Oil Change Kit for Specific FTR Models Including 1200, S, Rally, Sport, Carbon and More, Includes 4 Quarts 15W-60 Full Synthetic Oil, 1 Oil Filter, 2 Washers - 2884182",91.99,4.7 out of 5 stars,124,,False,B081T5N736,4.7
"Indian Motorcycle Oil Change Kit for All 60 & 69 Cu In Liquid-Cooled Scout Engines, 4 Quarts 15W-60 Full Synthetic Oil, 1 Oil Filter, 2 Washers, Clutch Performance, Engine Protection - 2880191",91.99,4.8 out of 5 stars,1037,200+ bought in past month,False,B0148WPPNC,4.8
"V-Twin Oil Change Kit Synthetic w/Black Filter, Milwaukee-Eight",103.59,4.7 out of 5 stars,319,Shop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them.,False,B07T1RNKWQ,4.7
"Indian Motorcycle Oil Change Kit for Chieftain, Roadmaster, Chief, Springfield Models With Thunderstroke 111 & 116 Engines, 6 Quarts 20W-40 Semi-Synthetic Motor Oil, 1 Oil Filter, 2 Washers - 2889311",107.99,4.8 out of 5 stars,511,200+ bought in past month,False,B0148VWXKQ,4.8
"MaxHiflo VTTOCK14 Complete Engine Oil Change Kit for V-Twin Full Synthetic Harley Davidson Twin Cam, 6 quart",111.27,4.7 out of 5 stars,944,300+ bought in past month,False,B015SX9B7Q,4.7
"MaxHiflo VTTOCK15 Complete Engine Oil Change Kit for V-Twin Full Synthetic 20w50 Harley Davidson Twin Cam, 6 Quart",116.41,4.6 out of 5 stars,538,200+ bought in past month,False,B015SX9B44,4.6
Red Line 90226 20W50 Powersport Motor Oil V-Twin - 1 Powerpack Kit,148.99,4.8 out of 5 stars,2570,300+ bought in past month,False,B0038385H6,4.8
